Title,URL handle,Description,Vendor,Product category,Type,Column2,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Arctic Cat Prowler Custom Cage,arctic-cat-prowler-custom-cage,"The Axle & Arc Fab cage for the Arctic Cat Prowler platform brings the perfect combination of strength, clean lines, and rider-built design. Whether you ride tight woods, rocky climbs, dunes, or high-speed open terrain, this cage is engineered to deliver real protection, real fitment, and the kind of craftsmanship that only comes from a team that rides the same way you do.

Every cage starts with raw DOM steel, precision-cut and mandrel-bent for accuracy and consistency across every machine. The fitment is tight, the lines are clean, and the geometry is designed to build confidence on every ride.

AVAILABLE BUILD TIERS

TRAIL SERIES CAGE (Build 1)
Our clean, stronger-than-stock upgrade. Simple, durable, and designed for everyday riders who want better protection and better style than OEM.

REINFORCED SERIES CAGE (Build 2)
Enhanced triangulation, added bracing, and reinforced structure offer superior rollover strength. A perfect middle-ground for aggressive recreational riders.

PRO SERIES CAGE (Build 3)
Maximum strength, premium structure, and competition-inspired tubing layout. Built for riders who push limits and want the strongest configuration available for the Arctic Cat Prowler platform.

STANDARD FINISH: RAW STEEL
All cages are delivered in raw steel so you can choose your own powder coat or custom finish. Powder coat and coating for add-ons are available separately through Axle & Arc Fab’s customization menu.

OPTIONAL ADD-ONS
Your Arctic Cat Prowler cage can be customized further with our full Axle & Arc Fab lineup of roofs, doors, intrusion bars, tube beds, trunk systems, roof racks, grab handles, windshield frames, safety upgrades, audio mounts, storage solutions, and more.

Your machine. Your build. Your therapy. Every Axle & Arc Fab cage is built for riders who expect more from their machine — and the people who build it.
",Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-PROWLE-2S-TR,,Seat Capacity,2-Seater,Build Tier,Trail Series Cage,,,1499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Prowler Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Prowler roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-prowler-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-PROWLE-2S-RF,,Seat Capacity,2-Seater,Build Tier,Reinforced Series Cage,,,1999,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Prowler Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Prowler roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-prowler-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-PROWLE-2S-PR,,Seat Capacity,2-Seater,Build Tier,Pro Series Cage,,,2799,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Prowler Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Prowler roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-prowler-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-PROWLE-4S-TR,,Seat Capacity,4-Seater,Build Tier,Trail Series Cage,,,1899,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Prowler Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Prowler roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-prowler-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-PROWLE-4S-RF,,Seat Capacity,4-Seater,Build Tier,Reinforced Series Cage,,,2599,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Prowler Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Prowler roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-prowler-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-PROWLE-4S-PR,,Seat Capacity,4-Seater,Build Tier,Pro Series Cage,,,3499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Prowler Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Prowler roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
Arctic Cat Wildcat Trail/Sport/1000/XX Custom Cage,arctic-cat-wildcat-custom-cage,"The Axle & Arc Fab cage for the Arctic Cat Wildcat Trail/Sport/1000/XX platform brings the perfect combination of strength, clean lines, and rider-built design. Whether you ride tight woods, rocky climbs, dunes, or high-speed open terrain, this cage is engineered to deliver real protection, real fitment, and the kind of craftsmanship that only comes from a team that rides the same way you do.

Every cage starts with raw DOM steel, precision-cut and mandrel-bent for accuracy and consistency across every machine. The fitment is tight, the lines are clean, and the geometry is designed to build confidence on every ride.

AVAILABLE BUILD TIERS

TRAIL SERIES CAGE (Build 1)
Our clean, stronger-than-stock upgrade. Simple, durable, and designed for everyday riders who want better protection and better style than OEM.

REINFORCED SERIES CAGE (Build 2)
Enhanced triangulation, added bracing, and reinforced structure offer superior rollover strength. A perfect middle-ground for aggressive recreational riders.

PRO SERIES CAGE (Build 3)
Maximum strength, premium structure, and competition-inspired tubing layout. Built for riders who push limits and want the strongest configuration available for the Arctic Cat Wildcat Trail/Sport/1000/XX platform.

STANDARD FINISH: RAW STEEL
All cages are delivered in raw steel so you can choose your own powder coat or custom finish. Powder coat and coating for add-ons are available separately through Axle & Arc Fab’s customization menu.

OPTIONAL ADD-ONS
Your Arctic Cat Wildcat Trail/Sport/1000/XX cage can be customized further with our full Axle & Arc Fab lineup of roofs, doors, intrusion bars, tube beds, trunk systems, roof racks, grab handles, windshield frames, safety upgrades, audio mounts, storage solutions, and more.

Your machine. Your build. Your therapy. Every Axle & Arc Fab cage is built for riders who expect more from their machine — and the people who build it.
",Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-WILDCA-2S-TR,,Seat Capacity,2-Seater,Build Tier,Trail Series Cage,,,1499,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Wildcat 1000 Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Wildcat 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-wildcat-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-WILDCA-2S-RF,,Seat Capacity,2-Seater,Build Tier,Reinforced Series Cage,,,1999,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Wildcat 1000 Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Wildcat 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-wildcat-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-WILDCA-2S-PR,,Seat Capacity,2-Seater,Build Tier,Pro Series Cage,,,2799,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Wildcat 1000 Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Wildcat 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
,arctic-cat-wildcat-custom-cage,,Axle & Arc Fab,,Custom Roll Cage,,TRUE,active,AAF-ARC-WILDCA-4S-TR,,Seat Capacity,4-Seater,Build Tier,Trail Series Cage,,,1899,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,FALSE,Arctic Cat Wildcat 1000 Custom Cage by Axle & Arc Fab,"Custom Arctic Cat Wildcat 1000 roll cage by Axle & Arc Fab. Available in Trail, Reinforced, and Pro Series builds with raw steel finish and full add-on compatibility.",,,,,,,,,,,,,
